title,type,genre,release_year,season,imdb_rating,netflix_rating,views_millions,duration_minutes,country,language,age_rating
Stranger Things S4,TV Show,Sci-Fi/Horror,2022,4,8.7,4.8,1352.0,75,USA,English,TV-14
Wednesday,TV Show,Fantasy/Comedy,2022,1,8.1,4.6,1237.5,50,USA,English,TV-14
Dahmer - Monster,TV Show,Crime/Drama,2022,1,7.2,4.0,856.2,60,USA,English,TV-MA
Ozark S4,TV Show,Crime/Drama,2022,4,8.5,4.7,491.1,60,USA,English,TV-MA
Emily in Paris S3,TV Show,Romance/Comedy,2022,3,6.9,4.1,409.4,30,France,English/French,TV-14
The Crown S5,TV Show,Drama/History,2022,5,7.1,4.2,168.0,60,UK,English,TV-MA
Bridgerton S2,TV Show,Romance/Drama,2022,2,7.4,4.4,627.1,60,UK,English,TV-14
Squid Game S1,TV Show,Thriller/Drama,2021,1,8.0,4.5,1650.5,55,South Korea,Korean,TV-MA
The Umbrella Academy S3,TV Show,Superhero/Sci-Fi,2022,3,7.5,4.3,209.0,55,USA,English,TV-14
Cobra Kai S5,TV Show,Action/Drama,2022,5,8.2,4.6,241.0,30,USA,English,TV-14
Never Have I Ever S3,TV Show,Comedy/Drama,2022,3,7.9,4.5,246.0,30,USA,English,TV-14
You S4,TV Show,Thriller/Drama,2023,4,7.6,4.4,440.6,55,USA,English,TV-MA
Ginny and Georgia S2,TV Show,Drama,2023,2,7.0,4.2,665.1,60,USA,English,TV-14
The Witcher S3,TV Show,Fantasy/Action,2023,3,7.8,4.3,106.3,60,Poland/UK,English,TV-MA
Queen Charlotte,TV Show,Romance/Drama,2023,1,7.3,4.3,503.0,60,UK,English,TV-14
Shadow and Bone S2,TV Show,Fantasy/Adventure,2023,2,7.7,4.4,112.0,55,USA,English,TV-14
Virgin River S5,TV Show,Romance/Drama,2023,5,7.4,4.3,133.1,45,USA/Canada,English,TV-14
Outer Banks S3,TV Show,Adventure/Drama,2023,3,7.5,4.3,214.0,65,USA,English,TV-14
The Night Agent S1,TV Show,Thriller/Action,2023,1,7.2,4.2,812.1,50,USA,English,TV-14
Beef S1,TV Show,Drama/Comedy,2023,1,8.3,4.7,115.0,35,USA,English,TV-MA
XO Kitty S1,TV Show,Romance/Comedy,2023,1,6.8,4.1,101.0,30,USA/South Korea,English,TV-14
Black Mirror S6,TV Show,Sci-Fi/Thriller,2023,6,7.0,4.2,86.0,55,UK,English,TV-MA
Sweet Tooth S2,TV Show,Fantasy/Drama,2023,2,7.6,4.4,68.0,50,USA,English,TV-14
Manifest S4,TV Show,Sci-Fi/Drama,2022,4,7.9,4.5,130.0,45,USA,English,TV-14
Heartstopper S2,TV Show,Romance/Drama,2023,2,8.5,4.8,76.0,30,UK,English,TV-14
One Piece,TV Show,Adventure/Action,2023,1,8.6,4.8,72.1,60,USA/Japan,English,TV-14
Transatlantic,TV Show,Historical Drama,2023,1,7.5,4.3,43.0,50,France/USA,English/French,TV-14
Selling Sunset S7,TV Show,Reality,2023,7,6.5,3.9,89.0,45,USA,English,TV-14
Queer Eye S7,TV Show,Reality,2023,7,8.6,4.8,54.0,50,USA,English,TV-14
Arrested Development S5,TV Show,Comedy,2019,5,7.9,4.4,47.0,30,USA,English,TV-14
Glass Onion,Movie,Mystery/Comedy,2022,0,7.1,4.1,279.7,140,USA,English,PG-13
All Quiet on Western Front,Movie,War/Drama,2022,0,7.8,4.4,141.0,148,Germany,German,R
The Gray Man,Movie,Action/Thriller,2022,0,5.9,3.7,253.9,122,USA,English,PG-13
Enola Holmes 2,Movie,Mystery/Adventure,2022,0,6.8,4.0,247.5,129,UK,English,PG-13
Pinocchio,Movie,Fantasy/Animation,2022,0,6.5,3.9,186.0,117,USA,English,PG
Blonde,Movie,Biography/Drama,2022,0,5.9,3.6,142.5,166,USA,English,NC-17
Purple Hearts,Movie,Romance/Drama,2022,0,6.2,3.9,228.0,123,USA,English,TV-14
Do Revenge,Movie,Comedy/Thriller,2022,0,7.0,4.1,122.0,118,USA,English,TV-14
RRR,Movie,Action/Drama,2022,0,7.8,4.4,141.0,187,India,Telugu,TV-14
The Sea Beast,Movie,Animation/Adventure,2022,0,7.2,4.2,138.6,115,USA,English,PG
Our Father,Movie,True Crime,2022,0,7.2,4.1,127.0,97,USA,English,TV-MA
Hustle,Movie,Comedy/Sports,2022,0,7.3,4.2,124.4,117,USA,English,R
Murder Mystery 2,Movie,Comedy/Mystery,2023,0,5.6,3.5,504.7,90,USA,English,PG-13
Luther The Fallen Sun,Movie,Crime/Thriller,2023,0,6.6,3.9,91.9,129,UK,English,TV-MA
Extraction 2,Movie,Action/Thriller,2023,0,7.1,4.1,267.5,122,USA,English,R
They Cloned Tyrone,Movie,Sci-Fi/Comedy,2023,0,7.1,4.1,94.5,122,USA,English,R
The Witcher Blood Origin,TV Show,Fantasy/Action,2022,1,3.4,2.8,72.0,45,UK,English,TV-MA
Kaleidoscope,TV Show,Crime/Thriller,2023,1,6.5,3.9,102.0,50,USA,English,TV-MA
Warrior Nun S2,TV Show,Fantasy/Action,2022,2,7.4,4.3,31.0,55,USA,English,TV-14
Locke and Key S3,TV Show,Fantasy/Horror,2022,3,7.0,4.1,51.0,45,USA,English,TV-14
