show_id,title,type,director,cast,country,date_added,release_year,rating,duration,genre,imdb_score,votes,description
s1,Wednesday,TV Show,Tim Burton,"Jenna Ortega, Hunter Doohan, Percy Hynes White",United States,November 23 2022,2022,TV-14,2 Seasons,Horror Comedy,8.1,426000,"Follows Wednesday Addams as she navigates her years as a student at Nevermore Academy."
s2,Stranger Things,TV Show,The Duffer Brothers,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder",United States,July 15 2016,2016,TV-14,4 Seasons,Sci-Fi Horror,8.7,1230000,"A group of kids uncover supernatural mysteries in their small Indiana town."
s3,The Crown,TV Show,Peter Morgan,"Claire Foy, Olivia Colman, Imelda Staunton",United Kingdom,November 4 2016,2016,TV-MA,6 Seasons,Drama,8.6,186000,"The political rivalries and romances of the reign of Queen Elizabeth II."
s4,Ozark,TV Show,Bill Dubuque,"Jason Bateman, Laura Linney, Sofia Hublitz",United States,July 21 2017,2017,TV-MA,4 Seasons,Crime Drama,8.4,358000,"A financial advisor is forced to relocate his family to the Missouri Ozarks after a money laundering scheme goes wrong."
s5,Squid Game,TV Show,Hwang Dong-hyuk,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun",South Korea,September 17 2021,2021,TV-MA,2 Seasons,Thriller,8.0,617000,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games for a chance at a life-changing sum of money."
s6,Money Heist,TV Show,Álex Pina,"Álvaro Morte, Úrsula Corberó, Itziar Ituño",Spain,July 8 2017,2017,TV-MA,5 Seasons,Crime Thriller,8.2,420000,"A criminal mastermind who goes by 'The Professor' plans the biggest heist in recorded history."
s7,The Witcher,TV Show,Lauren Schmidt Hissrich,"Henry Cavill, Freya Allan, Anya Chalotra",United States,December 20 2019,2019,TV-MA,3 Seasons,Fantasy,8.2,375000,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world."
s8,Emily in Paris,TV Show,Darren Star,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park",United States,October 2 2020,2020,TV-MA,4 Seasons,Romantic Comedy,7.2,89000,"Emily, an American marketing executive, moves to Paris for an unexpected job opportunity."
s9,Bridgerton,TV Show,Chris Van Dusen,"Phoebe Dynevor, Regé-Jean Page, Jonathan Bailey",United States,December 25 2020,2020,TV-14,3 Seasons,Period Drama,7.3,112000,"Follows the eight close-knit Bridgerton siblings as they navigate romance in the competitive world of Regency-era London."
s10,Dark,TV Show,Baran bo Odar,"Louis Hofmann, Oliver Masucci, Karoline Eichhorn",Germany,December 1 2017,2017,TV-MA,3 Seasons,Sci-Fi Mystery,8.8,271000,"A family saga with a supernatural twist set in a German town where the disappearance of children reveals a time travel conspiracy."
