Transaction_ID,Date,Day_of_Week,Month,Is_Weekend,Store,Category,Unit_Price,Units_Sold,Discount_Percent,Discount_Amount,Total_Sales,Customer_Age,Customer_Gender,Payment_Method,Customer_Rating
1,2023-10-17,Tuesday,10,0,Store_A,Electronics,37206.75,8,5,14882.7,282771.3,26,Male,Cash,3.4
2,2022-02-02,Wednesday,2,0,Store_A,Clothing,1249.46,17,20,4248.16,16992.66,19,Male,UPI,1.9
3,2023-08-27,Sunday,8,1,Store_C,Electronics,38060.96,6,25,57091.44,171274.32,45,Female,Debit Card,1.6
4,2022-12-11,Sunday,12,1,Store_A,Clothing,2023.65,14,30,7285.14,21045.96,40,Female,Cash,3.9
5,2023-01-23,Monday,1,0,Store_A,Toys,2505.27,20,30,15031.62,35073.78,41,Male,Cash,1.2
6,2022-08-22,Monday,8,0,Store_C,Clothing,4305.53,4,15,2583.32,14638.8,35,Female,Debit Card,1.7
7,2022-12-30,Friday,12,0,Store_B,Toys,2135.28,8,20,1281.17,15801.07,58,Male,Credit Card,1.7
8,2022-10-04,Tuesday,10,0,Store_B,Sports,12689.92,2,5,1268.99,24110.85,70,Male,Debit Card,2.6
9,2022-03-09,Wednesday,3,0,Store_B,Sports,3425.61,16,15,8221.46,46588.3,59,Female,Credit Card,2.1
10,2022-09-10,Saturday,9,1,Store_C,Books,1356.95,13,10,1764.04,15876.31,32,Male,UPI,1.4
11,2022-02-18,Friday,2,0,Store_A,Groceries,1273.52,14,20,3565.86,14263.42,22,Female,UPI,3.4
12,2023-04-25,Tuesday,4,0,Store_C,Electronics,34174.03,4,25,34174.03,102522.09,52,Female,Debit Card,1.4
13,2023-03-22,Wednesday,3,0,Store_B,Beauty,162.49,9,20,292.48,1169.93,66,Male,Cash,4.5
14,2022-11-02,Wednesday,11,0,Store_B,Groceries,779.13,8,20,934.96,5298.08,67,Male,Debit Card,3.0
15,2023-01-07,Saturday,1,1,Store_C,Furniture,5576.09,19,0,0.0,105945.71,23,Female,Cash,4.9
16,2023-06-30,Friday,6,0,Store_B,Groceries,1336.51,18,5,1202.86,22854.32,34,Female,Credit Card,4.7
17,2023-12-08,Friday,12,0,Store_B,Toys,1257.08,14,15,2262.74,15336.38,51,Female,Cash,2.0
18,2022-12-13,Tuesday,12,0,Store_A,Furniture,47486.77,3,0,0.0,142460.31,63,Male,Credit Card,1.3
19,2022-12-05,Monday,12,0,Store_A,Furniture,22999.7,20,5,18399.76,441594.24,52,Male,UPI,2.0
